CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Local_Best_Obj
20200307074428,15Type1_52.15_n500m200,0,500.307s,500,200,1583538269,34592,36.26
20200307075250,15Type1_52.15_n500m200,1,500.507s,500,200,1583538771,34382,37.94
20200307080112,15Type1_52.15_n500m200,2,500.28s,500,200,1583539272,34219,39.13
20200307080933,15Type1_52.15_n500m200,3,500.266s,500,200,1583539774,34313,42.92
20200307081755,15Type1_52.15_n500m200,4,500.304s,500,200,1583540275,34147,41.87
20200307082616,16Type1_52.16_n500m200,0,500.305s,500,200,1583540777,34250,36.38
20200307083438,16Type1_52.16_n500m200,1,500.178s,500,200,1583541278,34232,35.7
20200307084259,16Type1_52.16_n500m200,2,500.037s,500,200,1583541780,34259,40.06
20200307085120,16Type1_52.16_n500m200,3,500.294s,500,200,1583542281,33987,36.79
20200307085942,16Type1_52.16_n500m200,4,500.46s,500,200,1583542782,33825,38.69
20200307090804,19Type1_52.19_n500m200,0,500.344s,500,200,1583543284,33618,41.94
20200307091625,19Type1_52.19_n500m200,1,500.483s,500,200,1583543786,33962,42.15
20200307092447,19Type1_52.19_n500m200,2,500.454s,500,200,1583544287,34790,41.44
20200307093309,19Type1_52.19_n500m200,3,500.183s,500,200,1583544789,34557,37.97
20200307094130,19Type1_52.19_n500m200,4,500.106s,500,200,1583545290,34471,37.84
20200307094951,04Type1_52.4_n500m200,0,500.192s,500,200,1583545792,34786,39.59
20200307095813,04Type1_52.4_n500m200,1,500.376s,500,200,1583546293,33070,38.81
20200307100634,04Type1_52.4_n500m200,2,500.17s,500,200,1583546795,32800,39.78
20200307101456,04Type1_52.4_n500m200,3,500.416s,500,200,1583547296,32540,39.04
20200307102317,04Type1_52.4_n500m200,4,500.028s,500,200,1583547798,32337,38.52
20200307103139,07Type1_52.7_n500m200,0,500.34s,500,200,1583548299,32835,39.77
20200307104000,07Type1_52.7_n500m200,1,500.243s,500,200,1583548801,32716,39.91
20200307104822,07Type1_52.7_n500m200,2,500.133s,500,200,1583549302,32539,37.16
20200307105643,07Type1_52.7_n500m200,3,500.337s,500,200,1583549804,32531,39.01
20200307110505,07Type1_52.7_n500m200,4,500.2s,500,200,1583550305,34312,37.72
20200307111326,01Type1_52.1_n500m200,0,500.03s,500,200,1583550807,34281,37.53
20200307112147,01Type1_52.1_n500m200,1,500.056s,500,200,1583551308,33956,37.35
20200307113009,01Type1_52.1_n500m200,2,500.012s,500,200,1583551809,33737,38.27
20200307113830,01Type1_52.1_n500m200,3,500.392s,500,200,1583552311,34063,39.34
20200307114652,01Type1_52.1_n500m200,4,500.02s,500,200,1583552812,33705,38.38
20200307115513,MDG-c_1_n3000_m300,0,3009.37s,3000,300,1583553323,3833,4625
20200307124533,MDG-c_1_n3000_m300,1,3020.18s,3000,300,1583556343,4183,4964
20200307133604,MDG-c_1_n3000_m300,2,3015.53s,3000,300,1583559373,4076,5153
20200307142630,MDG-c_1_n3000_m300,3,3012.38s,3000,300,1583562399,4091,4765
20200307151652,MDG-c_1_n3000_m300,4,3014.64s,3000,300,1583565422,4137,4663
20200307160717,MDG-c_5_n3000_m300,0,3016.77s,3000,300,1583568447,4124,4832
20200307165745,MDG-c_5_n3000_m300,1,3007.72s,3000,300,1583571475,4078,4347
20200307174803,MDG-c_5_n3000_m300,2,3007.09s,3000,300,1583574493,4070,4739
20200307183820,MDG-c_5_n3000_m300,3,3025.04s,3000,300,1583577510,4062,4610
20200307192856,MDG-c_5_n3000_m300,4,3011.15s,3000,300,1583580546,3945,4933
20200307201918,MDG-c_6_n3000_m400,0,3013.24s,3000,400,1583583568,2123,6513
20200307210941,MDG-c_6_n3000_m400,1,6450.97s,3000,400,1583586591,2205,6417
20200307225721,MDG-c_6_n3000_m400,2,3028.43s,3000,400,1583593052,2237,6670
20200307234801,MDG-c_6_n3000_m400,3,3038.75s,3000,400,1583596091,2221,6032
20200308003850,MDG-c_6_n3000_m400,4,3039.89s,3000,400,1583599140,2248,6338
20200308012941,MDG-c_8_n3000_m400,0,3011.25s,3000,400,1583602191,2238,5819
20200308022003,MDG-c_8_n3000_m400,1,3002.17s,3000,400,1583605213,2242,6375
20200308031015,MDG-c_8_n3000_m400,2,3002.84s,3000,400,1583608225,2178,6273
20200308040029,MDG-c_8_n3000_m400,3,3045.38s,3000,400,1583611239,2266,6100
20200308045125,MDG-c_8_n3000_m400,4,3039.39s,3000,400,1583614295,2254,5932
20200308054215,MDG-c_14_n3000_m500,0,3023.04s,3000,500,1583617344,1360,7766
20200308063248,MDG-c_14_n3000_m500,1,3062.85s,3000,500,1583620378,1371,7736
20200308072401,MDG-c_14_n3000_m500,2,3088.83s,3000,500,1583623451,1378,7949
20200308081541,MDG-c_14_n3000_m500,3,3076.82s,3000,500,1583626551,1399,7782
20200308090708,MDG-c_14_n3000_m500,4,3042.45s,3000,500,1583629638,1395,7878
20200308095801,MDG-c_17_n3000_m600,0,3038.89s,3000,600,1583632691,935,9017
20200308104850,MDG-c_17_n3000_m600,1,3076.36s,3000,600,1583635740,953,9596
20200308114017,MDG-c_17_n3000_m600,2,3112.45s,3000,600,1583638827,977,9929
20200308123220,MDG-c_17_n3000_m600,3,3005.36s,3000,600,1583641950,908,10428
20200308132236,MDG-c_17_n3000_m600,4,3049.93s,3000,600,1583644966,932,9690
20200308141336,MDG-c_20_n3000_m600,0,3045.8s,3000,600,1583648026,941,10191
20200308150433,MDG-c_20_n3000_m600,1,3044.19s,3000,600,1583651083,948,9833
20200308155527,MDG-c_20_n3000_m600,2,3074.72s,3000,600,1583654137,970,9717
20200308164653,MDG-c_20_n3000_m600,3,3077.35s,3000,600,1583657223,946,9579
20200308173820,MDG-c_20_n3000_m600,4,3152.53s,3000,600,1583660310,950,9867
20200308183103,MDG-c_11_n3000_m500,0,3077.05s,3000,500,1583663473,1370,7848
20200308192231,MDG-c_11_n3000_m500,1,3049.69s,3000,500,1583666561,1345,8306
20200308201331,MDG-c_11_n3000_m500,2,3040.66s,3000,500,1583669621,1377,7877
20200308210422,MDG-c_11_n3000_m500,3,3017.71s,3000,500,1583672672,1338,7598
20200308215450,MDG-c_11_n3000_m500,4,3087.31s,3000,500,1583675701,1409,8468
